,Flight Path ID,Mission ID,Current Speed (meters / s),AGL (meters),Current Roll (degrees),Current Yaw (degrees),GPS Speed (meters / s),Pressure Altitude (meters),Current Pitch (degrees),Airborn,Time (s)
188,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,6.267
189,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,6.3
190,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,6.332999999999999
191,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,6.367000000000001
192,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,6.4
193,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,6.433
194,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,6.4670000000000005
195,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,6.5
196,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,6.5329999999999995
197,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,6.567
198,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,6.6
199,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,6.632999999999999
200,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,6.667000000000001
201,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,6.7
202,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,6.733
203,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,6.767
204,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,6.8
205,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,6.832999999999999
206,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,6.867000000000001
207,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,6.9
208,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,6.933
209,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,6.9670000000000005
210,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,7.0
211,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,7.0329999999999995
212,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,7.067
213,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,7.1
214,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,7.132999999999999
215,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,7.167000000000001
